date,player_name,player_id,team,league,opponent,home_away,ab,hits,home_runs,rbi,bb,so,game_pk
2026-04-10,Pete Crow-Armstrong,691718,CHC,NL,,Home,4,0,0,0,0,1,824695
2026-04-10,Riley Greene,682985,DET,AL,,Home,4,1,0,0,0,1,824297
2026-04-10,Seiya Suzuki,673548,CHC,NL,,Home,3,1,0,0,1,1,824695
2026-04-10,Shohei Ohtani,660271,LAD,NL,,Home,4,1,0,0,1,1,823968
2026-04-10,Taylor Ward,621493,LAA,AL,,Home,5,1,0,0,0,1,824858
2026-04-10,Trent Grisham,663757,NYY,AL,,Away,1,0,0,0,0,0,822997
2026-04-10,Vinnie Pasquantino,686469,KC,AL,,Home,3,0,0,0,0,0,824128
2026-04-11,Aaron Judge,592450,NYY,AL,,Away,3,0,0,0,2,1,822996
2026-04-11,Byron Buxton,621439,MIN,AL,,Away,5,1,0,0,0,1,822830
2026-04-11,Cal Raleigh,663728,SEA,AL,,Home,3,1,1,3,0,0,823155
2026-04-11,Corbin Carroll,682998,ARI,NL,,Away,3,0,0,0,1,2,823480
2026-04-11,Eugenio Suarez,553993,ARI,NL,,Home,4,1,0,0,1,2,824535
2026-04-11,Hunter Goodman,696100,COL,NL,,Away,4,0,0,0,0,3,823316
2026-04-11,Jo Adell,666176,LAA,AL,,Away,4,1,0,0,0,1,824535
2026-04-11,Junior Caminero,691406,TB,AL,,Home,4,1,0,0,0,1,822996
2026-04-11,Kyle Schwarber,656941,PHI,NL,,Home,4,1,1,3,0,2,823480
2026-04-11,Michael Busch,683737,CHC,NL,,Home,3,0,0,0,0,2,824697
2026-04-11,Nick Kurtz,701762,OAK,AL,,Away,3,0,0,0,2,1,823644
2026-04-11,Pete Alonso,624413,NYM,NL,,Home,3,0,0,0,1,2,824857
2026-04-11,Pete Crow-Armstrong,691718,CHC,NL,,Home,4,1,0,0,1,3,824697
2026-04-11,Riley Greene,682985,DET,AL,,Home,3,2,1,4,1,0,824294
2026-04-11,Seiya Suzuki,673548,CHC,NL,,Home,4,1,0,0,0,1,824697
2026-04-11,Shohei Ohtani,660271,LAD,NL,,Home,4,2,1,1,0,2,823967
2026-04-11,Taylor Ward,621493,LAA,AL,,Home,3,0,0,0,1,2,824857
2026-04-11,Trent Grisham,663757,NYY,AL,,Away,3,0,0,0,2,0,822996
2026-04-11,Vinnie Pasquantino,686469,KC,AL,,Home,3,0,0,1,0,1,824129
2026-04-12,Aaron Judge,592450,NYY,AL,,Away,3,1,1,2,1,1,822998
2026-04-12,Cal Raleigh,663728,SEA,AL,,Home,5,0,0,0,0,3,823154
2026-04-12,Corbin Carroll,682998,ARI,NL,,Away,4,2,0,0,1,1,823479
2026-04-12,Eugenio Suarez,553993,ARI,NL,,Home,2,0,0,0,1,1,824533
2026-04-12,Hunter Goodman,696100,COL,NL,,Away,3,1,0,0,1,2,823317
2026-04-12,Jo Adell,666176,LAA,AL,,Away,5,2,0,1,0,0,824533
2026-04-12,Junior Caminero,691406,TB,AL,,Home,3,2,0,1,0,1,822998
2026-04-12,Kyle Schwarber,656941,PHI,NL,,Home,4,2,0,0,0,1,823479
2026-04-12,Michael Busch,683737,CHC,NL,,Home,1,1,0,1,0,0,824696
2026-04-12,Nick Kurtz,701762,OAK,AL,,Away,3,1,1,1,1,2,823642
2026-04-12,Pete Alonso,624413,NYM,NL,,Home,4,2,0,2,1,0,824859
2026-04-12,Pete Crow-Armstrong,691718,CHC,NL,,Home,4,0,0,0,0,2,824696
2026-04-12,Riley Greene,682985,DET,AL,,Home,3,2,0,0,1,1,824293
2026-04-12,Seiya Suzuki,673548,CHC,NL,,Home,3,0,0,0,2,1,824696
2026-04-12,Shohei Ohtani,660271,LAD,NL,,Home,3,1,1,1,2,1,823966
2026-04-12,Taylor Ward,621493,LAA,AL,,Home,4,2,0,0,1,0,824859
2026-04-12,Trent Grisham,663757,NYY,AL,,Away,4,0,0,0,0,1,822998
2026-04-12,Vinnie Pasquantino,686469,KC,AL,,Home,4,0,0,1,1,1,824126
